cls,gene,n,removal_prob
inplane,AMY2A,2,0.9999708913726588
inplane,GATM,1,0.9999371162869555
outplane,EHF,1,0.9986243614623743
outplane,AMY2A,1,0.9999807158851984
outplane,GATM,1,0.999959340660891
outplane,AQP8,1,0.9998336763970247
outplane,BASP1,1,0.05058450524825164
outplane,TCIM,1,0.0
outplane,AMY2A,1,0.9999775935048895
outplane,FXYD2,1,0.9580694273844158
outplane,APCDD1,1,0.18404161980016864
outplane,CFTR,1,0.999870921922111
outplane,AMY2A,1,0.9999784954838433
outplane,GATM,1,0.9999546243592615
inplane,FBLN1,1,0.8593130409724163
inplane,FSTL3,1,0.8299880940202106
inplane,STC1,1,0.0
inplane,MALL,1,0.055472281051846206
inplane,AMY2A,2,0.9999658071893114
inplane,ESR1,1,0.8061230472145988
inplane,MDM2,1,0.5606856205167605
inplane,CFTR,1,0.9998855550211537
inplane,TFPI,1,0.0
inplane,AMY2A,1,0.9999805347131602
induction,CA4,1,0.013058578514249408
induction,PROX1,5,0.09514225971519674
induction,DIRAS3,4,0.017665586592120253
ambient,FKBP11,1,0.9140280780872891
ambient,CFTR,1,0.9998582875813821
induction,CA4,2,0.012112556087561455
induction,PROX1,5,0.08478040272942655
induction,DIRAS3,3,0.01600911929771842
induction,CA4,7,0.012680543297066471
induction,PROX1,2,0.09225448624081456
induction,DIRAS3,1,0.017200480713927102
ambient,KCNK3,1,0.9388026545764503
ambient,AQP3,1,0.8038153045838726
outplane,SMYD2,1,0.7552940774686094
outplane,FKBP11,1,0.9393128454926506
outplane,CFTR,1,0.999881118402902
outplane,AMY2A,1,0.9999798055136228
outplane,PROX1,1,0.3908713217129244
inplane,CFTR,1,0.9998734269825009
inplane,AMY2A,2,0.9999789041813035
inplane,EGFR,1,0.7572050621310977
induction,CA4,6,0.011648676913804779
induction,PROX1,1,0.08207698901988181
induction,DIRAS3,3,0.01576562682465954
induction,CA4,2,0.012769143816228623
induction,PROX1,5,0.09204950920459909
induction,DIRAS3,3,0.01698401898428281
inplane,FSTL3,1,0.7656669992175097
inplane,DST,1,0.443903618175307
inplane,STC1,1,0.0
inplane,CFTR,2,0.9998784836422553
inplane,APCDD1,1,0.19782336117995258
