pair,stratum,totals,rate,excess_rate,lam
T / NK -> B / plasma,6,230878,0.009281958436923397,0.007917789743307964,0.24462206273360118
T / NK -> B / plasma,7,144793,0.009765665467253251,0.008401496773637818,0.2595663104787552
T / NK -> B / plasma,8,76493,0.011491247565136678,0.010127078871521245,0.3128785940686531
T / NK -> B / plasma,9,38238,0.01406977352371986,0.012705604830104427,0.39254278814931426
T / NK -> B / plasma,10,18849,0.0145365801899305,0.013172411496315067,0.40696489498572724
T / NK -> B / plasma,11,6713,0.01698767795190812,0.015623509258292688,0.4826921635714394
T / NK -> B / plasma,12,1646,0.01698767795190812,0.015623509258292688,0.4826921635714394
B / plasma -> Endothelial,0,825169,0.0014494000622902702,0.0,0.0
B / plasma -> Endothelial,1,280753,0.0034549942476126702,0.0020055941853224,0.0560965219673244
B / plasma -> Endothelial,2,102909,0.007181101750089886,0.0057317016877996155,0.16031584654206385
B / plasma -> Endothelial,3,42401,0.007924341407042287,0.0064749413447520165,0.18110427924113195
B / plasma -> Endothelial,4,15641,0.009514505373147008,0.008065105310856737,0.22558120708079948
B / plasma -> Endothelial,5,5074,0.009514505373147008,0.008065105310856737,0.22558120708079948
B / plasma -> Endothelial,6,1949,0.009514505373147008,0.008065105310856737,0.22558120708079948
B / plasma -> Endothelial,7,879,0.009514505373147008,0.008065105310856737,0.22558120708079948
B / plasma -> Endothelial,8,554,0.03814713896457766,0.03669773890228739,0.6
B / plasma -> Endothelial,9,180,0.03814713896457766,0.03669773890228739,0.6
Epithelial -> Endothelial,0,192408,0.0018866159411251092,0.0,0.0
Epithelial -> Endothelial,1,194348,0.0029689011463971842,0.001082285205272075,0.049885891401003364
Epithelial -> Endothelial,2,159308,0.00450699274361614,0.0026203768024910304,0.12078131712602909
Epithelial -> Endothelial,3,102574,0.0066293602667342605,0.004742744325609151,0.21860783758065447
Epithelial -> Endothelial,4,85875,0.009595342066957788,0.007708726125832678,0.35531916400602825
Epithelial -> Endothelial,5,74333,0.010923815801864582,0.009037199860739472,0.4165526504713501
Epithelial -> Endothelial,6,71317,0.012984281447621183,0.011097665506496074,0.5115259208616372
Epithelial -> Endothelial,7,66906,0.016029366778831447,0.014142750837706337,0.6
Epithelial -> Endothelial,8,63854,0.016029366778831447,0.014142750837706337,0.6
Epithelial -> Endothelial,9,50627,0.01605862484445059,0.01417200890332548,0.6
Epithelial -> Endothelial,10,52066,0.017959711167637647,0.016073095226512537,0.6
Epithelial -> Endothelial,11,45430,0.017959711167637647,0.016073095226512537,0.6
