cls,gene,n,removal_prob
inplane,AMY2A,2,0.9999659964187122
inplane,ESR1,1,0.8060396593214947
inplane,MDM2,1,0.5608022353945272
inplane,CFTR,1,0.9998854899968139
inplane,TFPI,1,0.0
inplane,AMY2A,1,0.9999806528653813
induction,AMY2A,5,0.9999810995773121
induction,GATM,4,0.9999604458631519
induction,AQP8,1,0.9998452189572428
ambient,FKBP11,1,0.9141960707092294
ambient,CFTR,1,0.9998581603581284
induction,AMY2A,5,0.9999710282494189
induction,GATM,3,0.9999381457133993
induction,AQP8,2,0.9997599896964509
induction,AMY2A,2,0.9999805315764986
induction,GATM,1,0.9999592023049886
induction,AQP8,7,0.99984044288825
ambient,KCNK3,1,0.9388893735398337
ambient,AQP3,1,0.8040403150673578
outplane,SMYD2,1,0.7553429902006885
outplane,FKBP11,1,0.9393746641521615
outplane,CFTR,1,0.9998812611789905
outplane,AMY2A,1,0.999979964723409
outplane,PROX1,1,0.8945822305023304
inplane,CFTR,1,0.9998733668889547
inplane,AMY2A,2,0.9999790334409181
inplane,EGFR,1,0.7576824015380393
induction,AMY2A,1,0.9999668021083312
induction,GATM,3,0.9999284868357828
induction,AQP8,6,0.9997235648945071
induction,AMY2A,5,0.9999774384796846
induction,GATM,3,0.999952463901006
induction,AQP8,2,0.9998145130862114
inplane,FSTL3,1,0.7658202410880268
inplane,DST,1,0.44395613214228136
inplane,STC1,1,0.0
inplane,CFTR,2,0.9998784111563557
inplane,APCDD1,1,0.19783463779648258
inplane,VCAN,1,0.9992978295285695
inplane,ASPN,1,0.20723728576950384
inplane,AMY2A,1,0.9999797872392406
